MinTemp,MaxTemp,Rainfall,Evaporation,WindGustSpeed,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
8,24.3,0,3.4,30,68,29,1019.7,1015,7,7,14.4,23.6,No,Yes
14,26.9,3.6,4.4,39,80,36,1012.4,1008.4,5,3,17.5,25.7,Yes,Yes
13.7,23.4,3.6,5.8,85,82,69,1009.5,1007.2,8,7,15.4,20.2,Yes,Yes
13.3,15.5,39.8,7.2,,62,56,1005.5,1007,2,7,13.5,14.1,Yes,Yes
7.6,16.1,2.8,5.6,50,68,49,1018.3,1018.5,7,7,,15.4,Yes,No
6.2,16.9,0,5.8,44,70,57,1023.8,1021.7,7,5,10.9,14.8,No,No
6.1,18.2,0.2,4.2,43,63,47,,1022.2,4,6,12.4,17.3,No,No
8.3,17,0,5.6,41,65,57,1026.2,1024.2,6,7,12.1,15.5,No,No
8.8,,0,4,48,70,48,1026.1,1022.7,7,7,,18.9,No,Yes
8.4,22.8,16.2,5.4,31,,32,1024.1,1020.7,7,1,13.3,21.7,Yes,No
9.1,25.2,0,4.2,30,74,34,1024.4,1021.1,1,2,14.6,24,No,No
8.5,27.3,0.2,7.2,41,54,35,1023.8,,0,3,16.8,26,No,No
10.1,27.9,0,7.2,30,62,29,1022,1017.1,0,1,17,27.1,No,No
12.1,30.9,0,6.2,44,67,20,1017.3,1013.1,1,4,19.7,30.7,No,No
10.1,31.2,0,8.8,41,45,16,1018.2,1013.7,0,1,,30.4,No,No
12.4,32.1,0,8.4,46,70,22,1017.9,1012.8,0,3,19.1,30.7,No,No
13.8,31.2,0,7.2,44,72,23,1014.4,1009.8,7,6,20.2,29.8,No,Yes
11.7,30,1.2,7.2,52,59,26,1016.4,,1,5,20.1,28.6,Yes,No
12.4,32.3,0.6,7.4,39,60,25,1017.1,1013.3,1,3,,31.2,No,No
15.6,,0,8,33,61,27,,1013.7,0,1,22.8,32,No,No
15.3,33.4,0,8.8,59,,26,1012.4,1006.5,1,5,22.2,32.8,No,No
16.4,19.4,0.4,9.2,,88,72,1010.7,,8,8,16.5,18.3,No,Yes
12.8,18.5,25.8,2.8,28,91,79,1014,1014.9,8,8,14,16.8,Yes,No
12,24.3,0.4,1.2,26,74,57,1020.7,1019.2,7,5,17.8,22.8,No,No
15.4,28.4,0,4.4,,85,,1022.4,1018.6,8,2,16.8,27.3,No,No
15.6,,0,6.8,41,65,48,1019.7,,2,4,19.8,,No,No
13.3,22.2,0.2,6.6,39,70,55,1021,1018.6,7,7,16.5,21.2,No,No
12.9,28,0,4.4,52,61,31,1019.2,1014.8,5,7,18.8,26.7,No,No
15.1,24.3,0,7,39,69,80,1019,1017.1,7,7,18.9,19.7,No,No
13.6,24.1,0.4,2.6,,83,49,1017.2,1013.3,8,7,17.3,23.2,No,Yes
15.1,20.4,22.6,2.4,41,82,90,1015,1014.1,8,8,17,16.3,Yes,Yes
11.6,26.3,4.2,1.6,41,66,46,1013.9,1009.5,2,2,16.7,25.2,Yes,No
16.6,24.2,0.2,6.6,50,72,60,1007.9,1004.6,7,7,20.5,19.9,No,Yes
13.3,26.5,6.6,3.8,50,74,40,1007.3,1006.3,5,2,18.8,25.1,Yes,No
14.5,21.8,0,8.4,43,69,,1015,,7,1,18.6,20.5,No,No
16.3,26.8,0,6,39,78,54,1018.8,1016.1,8,7,18.6,,No,No
17.2,25.8,0,4.2,41,70,74,1014.5,1011.5,6,7,21.5,22.6,No,Yes
16.5,28.2,4,4.2,39,76,42,1014.8,,8,1,18,26.3,Yes,No
15,29.4,0,6.6,43,78,24,1010.8,1008.5,7,7,20.6,28.6,No,No
14.9,24.8,0,10.4,35,58,37,1011.7,1010.4,7,7,19.3,22.9,No,No
11.8,18.5,0.6,4.8,35,60,63,1018,1017.4,8,6,13.8,16.4,No,No
11.7,21.5,0,4.2,,66,51,1021.1,1019.6,7,5,15.7,19.4,No,No
9.6,,0,5,39,70,49,1021.9,1019.3,7,7,15.8,19.2,No,No
8.9,27.1,0,4.4,35,63,37,,1012.5,1,2,15.8,25,No,No
10.1,29.9,0,6.8,41,63,36,1012.6,1010.2,1,8,17.4,29.1,No,Yes
15.5,21.1,5.4,6.4,31,93,86,1010.1,1008.6,8,8,16.6,20,Yes,Yes
10.8,21.7,1.4,2.8,48,59,40,1017.6,1016.8,1,4,15.3,20.8,Yes,No
7.5,20.9,0,6.6,39,61,43,1020.6,1018.3,6,7,15.3,19.8,No,No
12.8,21,0,6.4,22,72,54,1018,1015.6,8,8,16.1,20,No,Yes
12.6,23.1,3.4,1.6,30,,74,,1014.1,8,7,15.3,20.4,Yes,Yes
14.8,29.5,6.4,1.8,41,81,48,1012.9,1008.3,2,7,21,28.2,Yes,Yes
19.9,22,11,4.4,76,92,62,996.5,,8,3,20.6,,Yes,Yes
9.2,20.4,17.4,7.8,39,59,49,1009.5,1009.1,1,7,14.9,18.8,Yes,No
12.4,24.4,0,6.2,44,69,43,1012.8,1009.7,6,4,15,22.5,No,Yes
11.3,21.7,3.4,8.2,,67,52,1020.4,1019.1,8,3,12.4,21,Yes,No
9.8,26.3,0,5.2,,63,35,1023.2,,1,1,,23.9,No,No
14.3,26.7,0,7.2,65,68,64,1017.3,1014.3,7,7,19.8,19,No,Yes
15.1,28.3,14.4,8.8,28,73,44,1016.8,1013.4,1,5,18.3,27.4,Yes,No
14.4,31.6,0,6.6,30,65,,1017.1,1014.2,0,2,21.5,30.3,No,No
15.4,35,0,9.6,39,55,18,1017.4,1015,1,1,23.4,34.3,No,No
13.8,33.5,0,11.4,31,44,20,1019.2,1015.6,0,1,21.9,32.2,No,No
13.6,34.2,0,8.8,35,50,20,1015.8,1011.6,7,6,21.9,31.8,No,No
14.3,,0,7.6,41,43,14,1012.6,,0,1,23,33.6,No,No
15.9,23.4,0,12.6,50,69,55,1016.8,1016.3,8,7,19.2,22.3,No,No
16.7,25.3,0,6.2,,56,45,,1013,6,7,20.3,23.9,No,No
12.1,27.5,0,7.4,35,69,40,1011.8,1007.4,7,2,18.6,26.8,No,No
14.3,34.1,0,6.6,,77,34,1006.6,1003.3,1,1,18.9,31.9,No,No
16.5,33.9,0,9,39,60,36,1012.3,1009.5,1,1,20.8,31.3,No,No
16.5,30.3,0,10,46,,44,1015.7,1013.4,7,1,18.1,28,No,No
17.5,29.9,0,6.6,43,74,45,1018.5,,8,1,19.3,27.9,No,No
14.7,34.2,0,6.6,33,64,25,1017.8,1013.3,1,1,21.3,32.2,No,No
17.5,35.8,0,9.4,57,56,,1011.8,1006.5,0,1,24.7,34.5,No,No
20.9,35.7,0,13.8,50,61,28,1007.6,1003,7,2,23.6,34,No,Yes
17,33.8,2,9,52,65,35,1004,1001.8,2,3,23,31.8,Yes,No
16,22.8,0,12.4,50,70,57,1012.3,1012.3,8,6,17,21.6,No,No
15.4,33.8,0,5.2,35,70,26,1014.2,1009,7,1,18,31.7,No,No
17.9,33.2,0,10.4,,58,62,1008.5,1006.1,6,7,24.5,23.5,No,Yes
